Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	256	netDeviceFace://	InInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutInterests	5115.2	0	3197	0
0.5	0	256	netDeviceFace://	InData	68.8	71.125	43	44.4531
0.5	0	256	netDeviceFace://	OutData	0	0	0	0
0.5	0	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	0	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutSatisfiedInterests	75.2	0	47	0
0.5	0	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	0	257	netDeviceFace://	InInterests	0	0	0	0
0.5	0	257	netDeviceFace://	OutInterests	2886.4	0	1804	0
0.5	0	257	netDeviceFace://	InData	6.4	6.6125	4	4.13281
0.5	0	257	netDeviceFace://	OutData	0	0	0	0
0.5	0	257	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	0	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	0	257	netDeviceFace://	OutSatisfiedInterests	6.4	0	4	0
0.5	0	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	InInterests	8001.6	210.202	5001	131.376
0.5	0	258	appFace://	OutInterests	0	0	0	0
0.5	0	258	appFace://	InData	0	0	0	0
0.5	0	258	appFace://	OutData	70.4	72.7781	44	45.4863
0.5	0	258	appFace://	InSatisfiedInterests	70.4	0	44	0
0.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	75.2	0	47	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InInterests	2244.8	58.9953	1403	36.8721
0.5	1	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InData	0	0	0	0
0.5	1	256	netDeviceFace://	OutData	75.2	77.7391	47	48.5869
0.5	1	256	netDeviceFace://	InSatisfiedInterests	75.2	0	47	0
0.5	1	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	InInterests	169.6	4.43906	106	2.77441
0.5	1	257	netDeviceFace://	OutInterests	2244.8	58.9953	1403	36.8721
0.5	1	257	netDeviceFace://	InData	65.6	67.8203	41	42.3877
0.5	1	257	netDeviceFace://	OutData	9.6	9.91875	6	6.19922
0.5	1	257	netDeviceFace://	InSatisfiedInterests	9.6	0	6	0
0.5	1	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	OutSatisfiedInterests	75.2	0	47	0
0.5	1	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	258	netDeviceFace://	InInterests	0	0	0	0
0.5	1	258	netDeviceFace://	OutInterests	169.6	4.43906	106	2.77441
0.5	1	258	netDeviceFace://	InData	9.6	9.91875	6	6.19922
0.5	1	258	netDeviceFace://	OutData	0	0	0	0
0.5	1	258	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	1	258	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	258	netDeviceFace://	OutSatisfiedInterests	9.6	0	6	0
0.5	1	258	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	75.2	0	47	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
0.5	2	257	netDeviceFace://	InInterests	265.6	6.95625	166	4.34766
0.5	2	257	netDeviceFace://	OutInterests	2244.8	58.9953	1403	36.8721
0.5	2	257	netDeviceFace://	InData	65.6	67.8203	41	42.3877
0.5	2	257	netDeviceFace://	OutData	6.4	6.6125	4	4.13281
0.5	2	257	netDeviceFace://	InSatisfiedInterests	6.4	0	4	0
0.5	2	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	2	257	netDeviceFace://	OutSatisfiedInterests	72	0	45	0
0.5	2	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	2	256	netDeviceFace://	InInterests	2244.8	58.9953	1403	36.8721
0.5	2	256	netDeviceFace://	OutInterests	265.6	6.95625	166	4.34766
0.5	2	256	netDeviceFace://	InData	6.4	6.6125	4	4.13281
0.5	2	256	netDeviceFace://	OutData	65.6	67.8203	41	42.3877
0.5	2	256	netDeviceFace://	InSatisfiedInterests	72	0	45	0
0.5	2	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	2	256	netDeviceFace://	OutSatisfiedInterests	6.4	0	4	0
0.5	2	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	2	-1	all	SatisfiedInterests	72	0	45	0
0.5	2	-1	all	TimedOutInterests	0	0	0	0
0.5	3	256	netDeviceFace://	InInterests	1196.8	31.3719	748	19.6074
0.5	3	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	3	256	netDeviceFace://	InData	0	0	0	0
0.5	3	256	netDeviceFace://	OutData	9.6	9.91875	6	6.19922
0.5	3	256	netDeviceFace://	InSatisfiedInterests	9.6	0	6	0
0.5	3	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	3	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	3	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	3	257	netDeviceFace://	InInterests	0	0	0	0
0.5	3	257	netDeviceFace://	OutInterests	1196.8	31.3719	748	19.6074
0.5	3	257	netDeviceFace://	InData	9.6	9.91875	6	6.19922
0.5	3	257	netDeviceFace://	OutData	0	0	0	0
0.5	3	257	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	3	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	3	257	netDeviceFace://	OutSatisfiedInterests	9.6	0	6	0
